ch,pyn,py,en
者,zhe3,zhě,"-ist, -er (person) / person (who does sth)
(after a verb or adjective) one who (is) ... / (after a noun) person involved in ... / -er / -ist / (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously) / (used after a term, to mark a pause before defining the term) / (old) (used at the end of a command) / (old) this"
意,yi4,yì,"idea / meaning / wish / desire / (abbr.) Italy
idea / meaning / thought / to think / wish / desire / intention / to expect / to anticipate"
无,wu2,wú,"-less / not to have / no / none / not / to lack / un-
not to have / no / none / not / to lack / un- / -less"
力,li4,lì,"power / force / strength
power / force / strength / ability / strenuously"
它,ta1,tā,"it
it"
与,yu2 / yu3 / yu4,yǔ,"(interrog. part.), and / to give / together with, take part in
to take part in"
长,chang2 / zhang3,cháng,"length / long / forever / always / constantly, chief / head / elder / to grow / to develop
chief / head / elder / to grow / to develop / to increase / to enhance"
把,ba3 / ba4,bǎ,"(a measure word) / (marker for direct-object) / to hold / to contain / to grasp / to take hold of, handle
handle"
机,ji1,jī,"machine / opportunity / secret
machine / engine / opportunity / intention / aircraft / pivot / crucial point / flexible (quick-witted) / organic / CL:臺|台[tai2]"
十,shi2,shí,"ten / 10
ten / 10"
民,min2,mín,"the people / nationality / citizen
the people / nationality / citizen"
第,di4,dì,"(prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)
(prefix indicating ordinal number, e.g. first, number two etc) / order / (old) rank in the imperial examinations / mansion / (literary) but / just"
公,gong1,gōng,"just / honorable (designation) / public / common
public / collectively owned / common / international (e.g. high seas, metric system, calendar) / make public / fair / just / Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4] / honorable (gentlemen) / father-in-law / male (animal)"
此,ci3,cǐ,"this / these
this / these"
已,yi3,yǐ,"already / to stop / then / afterwards
already / to stop / then / afterwards"
工,gong1,gōng,"work / worker / skill / profession / trade / craft / labor
work / worker / skill / profession / trade / craft / labor"
使,shi3,shǐ,"to make / to cause / to enable / to use / to employ / messenger
to make / to cause / to enable / to use / to employ / to send / to instruct sb to do sth / envoy / messenger"
情,qing2,qíng,"feeling / emotion / passion / situation
feeling / emotion / passion / situation"
明,ming2,míng,"clear / bright / to understand / next / the Ming dynasty
bright / opposite: dark 暗[an4] / (of meaning) clear / to understand / next / public or open / wise / generic term for a sacrifice to the gods"
性,xing4,xìng,"sex / nature / surname / suffix corresponding to -ness or -ity
nature / character / property / quality / attribute / sexuality / sex / gender / suffix forming adjective from verb / suffix forming noun from adjective, corresponding to -ness or -ity / essence / CL:個|个[ge4]"
知,zhi1,zhī,"to know / to be aware
to know / to be aware"
全,quan2,quán,"all / whole / entire / every / complete
all / whole / entire / every / complete"
三,san1,sān,"three / 3
three / 3"
又,you4,yòu,"(once) again / also / both... and... / again
(once) again / also / both... and... / and yet / (used for emphasis) anyway"
关,guan1,guān,"(surname) / mountain pass / to close / to shut / to turn off / to concern / to involve
mountain pass / to close / to shut / to turn off / to concern / to involve"
点,dian3,diǎn,"(downwards-right convex character stroke) / o'clock / (a measure word) / point / dot / (decimal) point)
point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items"
正,zheng1 / zheng4,zhèng,"Chinese 1st month of year, just (right) / main / upright / straight / correct / principle
straight / upright / proper / main / principal / to correct / to rectify / exactly / just (at that time) / right (in that place) / (math.) positive"
业,ye4,yè,"business / occupation / study
line of business / industry / occupation / job / employment / school studies / enterprise / property / (Buddhism) karma / deed / to engage in / already"
外,wai4,wài,"outside / in addition / foreign / external
outside / in addition / foreign / external"
将,jiang1 / jiang4,jiāng,"(will, shall, ""future tense"") / ready / prepared / to get / to use, a general
to desire / to invite / to request"
两,liang3,liǎng,"both / two / ounce / some / a few / tael
two / both / some / a few / tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)"
高,gao1,gāo,"high / tall
high / tall / above average / loud / your (honorific)"
间,jian1 / jian4,jiān,"between / among / space / (measure word), interstice / separate
gap / to separate / to thin out (seedlings) / to sow discontent"
由,you2,yóu,"follow / from / it is for...to / reason / cause / because of / due to / by / to / to leave it (to sb)
to follow / from / it is for...to / reason / cause / because of / due to / to / to leave it (to sb) / by (introduces passive verb)"
问,wen4,wèn,"to ask
to ask"
很,hen3,hěn,"very / extremely
(adverb of degree) / quite / very / awfully"
