ch,pyn,py,en
过,guo4,guò,"(experienced action marker) / to cross / to go over / to pass (time) / to celebrate (a holiday) / to live / to get along / (surname) / excessively / too-
(experienced action marker)"
发,fa1 / fa4,fā,"to send out / to show (one's feeling) / to issue / to develop, hair
hair / Taiwan pr. [fa3]"
后,hou4,hòu,"empress / queen / surname, back / behind / rear / afterwards / after / later
back / behind / rear / afterwards / after / later"
作,zuo4,zuò,"to regard as / to take (somebody) for / to do / to make
to do / to grow / to write or compose / to pretend / to regard as / to feel / writings or works"
里,li3,lǐ,"inside / internal / interior, village / within / inside, Chinese mile / neighborhood / li, a Chinese unit of length = one-half kilometer / hometown
li, ancient measure of length, approx. 500 m / neighborhood / ancient administrative unit of 25 families / (Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels"
用,yong4,yòng,"to use
to use / to employ / to have to / to eat or drink / expense or outlay / usefulness / hence / therefore"
道,dao4,dào,"direction / way / method / road / path / principle / truth / reason / skill / method / Tao (of Taoism) / a measure word / to say / to speak / to talk
road / path / CL:條|条[tiao2],股[gu3] / principle / truth / morality / reason / skill / method / Dao (of Daoism) / to say / to speak / to talk / classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process / (old) administrative division (similar to province in Tang times)"
行,hang2 / xing2 / xing4,xíng,"a row / profession / professional, all right / capable / competent / OK / okay / to go / to do / to travel / temporary / to walk / to go / will do, behavior / conduct
to walk / to go / to travel / a visit / temporary / makeshift / current / in circulation / to do / to perform / capable / competent / effective / all right / OK! / will do / behavior / conduct / Taiwan pr. [xing4] for the behavior-conduct sense"
所,suo3,suǒ,"actually / place
actually / place / classifier for houses, small buildings, institutions etc / that which / particle introducing a relative clause or passive / CL:個|个[ge4]"
然,ran2,rán,"correct / right / so / thus / like this / -ly
correct / right / so / thus / like this / -ly"
家,jia1,jiā,"furniture / tool, -ist / -er / -ian / home / family / a person engaged in a certain art or profession
home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL:個|个[ge4]"
种,zhong3 / zhong4,zhǒng,"kind / type / race / breed / seed / species (taxonomy), to plant / to cultivate
to plant / to grow / to cultivate"
事,shi4,shì,"matter / thing / item / work / affair
matter / thing / item / work / affair / CL:件[jian4],樁|桩[zhuang1],回[hui2]"
成,cheng2 / cheng4,chéng,"finish / complete / accomplish / become / turn into / win / succeed / one tenth, finish / complete / accomplish / become / turn into / win / succeed / one tenth
to succeed / to finish / to complete / to accomplish / to become / to turn into / to be all right / OK! / one tenth"
方,fang1,fāng,"square / quadrilateral / direction / just
square / power or involution (mathematics) / upright / honest / fair and square / direction / side / party (to a contract, dispute etc) / place / method / prescription (medicine) / just when / only or just / classifier for square things / abbr. for square or cubic meter"
多,duo1,duō,"many / much / a lot of / numerous / multi-
many / much / often / a lot of / numerous / more / in excess / how (to what extent) / multi- / Taiwan pr. [duo2] when it means ""how"""
经,jing1,jīng,"classics / sacred book / pass through / to undergo / scripture
classics / sacred book / scripture / to pass through / to undergo / to bear / to endure / warp (textile) / longitude / menstruation / channel (TCM) / abbr. for economics 經濟|经济[jing1 ji4]"
么,ma / me / yao1,yāo,"(interrog. part.), (interrog. suff.), one on dice / small
variant of 麼|么[me5]"
去,qu4,qù,"to go / to leave / to remove
to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation)"
法,fa3,fǎ,"law / method / way / Buddhist teaching / Legalist / France (abbrev.)
old variant of 法[fa3] / law"
学,xue2,xué,"learn / study / science / -ology
to learn / to study / to imitate / science / -ology"
如,ru2,rú,"as (if) / such as
as / as if / such as"
都,dou1 / du1,dū,"all / both (if two things are involved) / entirely (due to)each / even / already, (surname) / metropolis / capital city
capital city / metropolis"
同,tong2,tóng,"like / same / similar / together / alike / with
see 衚衕|胡同[hu2 tong4]"
现,xian4,xiàn,"appear / present / now / existing / current
to appear / present / now / existing / current"
当,dang1 / dang4,dāng,"to be / to act as / manage / withstand / when / during / ought / should / match equally / equal / same / obstruct / just at (a time or place) / on the spot / right / just at, at or in the very same... / to pawn / suitable / adequate / fitting / proper / replace / represent
at or in the very same... / suitable / adequate / fitting / proper / to replace / to regard as / to think / to pawn / (coll.) to fail (a student)"
没,mei2 / mo4,méi,"(negative prefix for verbs) / have not / not, drowned / to end / to die / to inundate
drowned / to end / to die / to inundate"
动,dong4,dòng,"to use / to act / to move / to change
(of sth) to move / to set in movement / to displace / to touch / to make use of / to stir (emotions) / to alter / abbr. for 動詞|动词[dong4 ci2], verb"
面,mian4,miàn,"fade / side / surface / aspect / top / face / flour / noodles, flour / noodles
flour / noodles / (of food) soft (not crunchy) / (slang) (of a person) ineffectual / spineless"
起,qi3,qǐ,"to rise / to raise / to get up
to rise / to raise / to get up / to set out / to start / to appear / to launch / to initiate (action) / to draft / to establish / to get (from a depot or counter) / verb suffix, to start / starting from (a time, place, price etc) / classifier for occurrences or unpredictable events: case, instance / classifier for groups: batch, group"
看,kan1 / kan4,kàn,"to look after / to take care of / to watch / to guard, it depends / think / to see / to look at
to see / to look at / to read / to watch / to visit / to call on / to consider / to regard as / to look after / to treat (an illness) / to depend on / to feel (that) / (after verb) to give it a try / Watch out! (for a danger)"
定,ding4,dìng,"to set / to fix / to determine / to decide / to order
to set / to fix / to determine / to decide / to order"
天,tian1,tiān,"day / sky / heaven
day / sky / heaven"
分,fen1 / fen4,fēn,"to divide / minute / (a measure word) / (a unit of length = 0.33 centimeter), part
part / share / ingredient / component"
还,hai2 / huan2 / huan4,huán,"also / in addition / more / still / else / still / yet / (not) yet, (surname) / pay back / return
to pay back / to return"
进,jin4,jìn,"advance / enter / to come in
to go forward / to advance / to go in / to enter / to put in / to submit / to take in / to admit / (math.) base of a number system / classifier for sections in a building or residential compound"
好,hao3 / hao4,hǎo,"good / well, be fond of
to be fond of / to have a tendency to / to be prone to"
小,xiao3,xiǎo,"small / tiny / few / young
small / tiny / few / young"
部,bu4,bù,"ministry / department / section / part / division / troops / board / (a measure word) / (a measure word for works of literature, films, machines, etc.)
ministry / department / section / part / division / troops / board / classifier for works of literature, films, machines etc"
其,qi2,qí,"his / her / its / theirs / that / such / it (refers to sth preceding it)
his / her / its / their / that / such / it (refers to sth preceding it)"
些,xie1,xiē,"some / few / several / (a measure word)
some / few / several / measure word indicating a small amount or small number (greater than 1)"
主,zhu3,zhǔ,"to own / to host / master / lord / primary
owner / master / host / individual or party concerned / God / Lord / main / to indicate or signify / trump card (in card games)"
样,yang4,yáng,"manner / pattern / way / appearance / shape
manner / pattern / way / appearance / shape / classifier: kind, type"
理,li3,lǐ,"reason / logic / science / inner principle or structure
texture / grain (of wood) / inner essence / intrinsic order / reason / logic / truth / science / natural science (esp. physics) / to manage / to pay attention to / to run (affairs) / to handle / to put in order / to tidy up"
心,xin1,xīn,"heart / mind
heart / mind / intention / center / core / CL:顆|颗[ke1],個|个[ge4]"
她,ta1,tā,"she
she"
本,ben3,běn,"roots or stems of plants / origin / source / this / the current / root / foundation / basis / (a measure word)
root / stem / origin / source / this / the current / original / inherent / originally / classifier for books, periodicals, files etc"
前,qian2,qián,"before / in front / ago / former / previous / earlier / front
front / forward / ahead / first / top (followed by a number) / future / ago / before / BC (e.g. 前293年) / former / formerly"
开,kai1,kāi,"open / operate (vehicle) / start
to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (a vehicle) / carat (gold) / abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2] / abbr. for 開本|开本[kai1 ben3], book format"
但,dan4,dàn,"but / yet / however / only / merely / still
but / yet / however / only / merely / still"
因,yin1,yīn,"cause / reason / because
cause / reason / because"
只,qi2 / zhi1 / zhi3,zhǐ,"earth-spirit / peace, (a measure word, for birds and some animals, etc.) / single / only, M for one of a pair, only / merely / just / but, but / only
classifier for birds and certain animals, one of a pair, some utensils, vessels etc"
从,cong1 / cong2 / zong4,cóng,"lax / yielding / unhurried, from / obey / observe / follow, second cousin
second cousin"
想,xiang3,xiǎng,"to think / to believe / to suppose / to wish / to want / to miss
to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth)"
实,shi2,shí,"real / true / honest / really / solid
real / true / honest / really / solid / fruit / seed / definitely"
日,ri4,rì,"Japan / day / sun / date / day of the month
sun / day / date, day of the month"
军,jun1,jūn,"army / military / arms
army / military / arms / CL:個|个[ge4]"
